point_time,point_val,Batch_ID
2024-04-14 21:48:13.394630,10.67,BATCH-20240414-701
2024-06-13 21:48:13.394630,11.60,BATCH-20240613-757
2024-10-08 21:48:13.394630,10.49,BATCH-20241008-939
2024-11-13 21:48:13.394630,14.26,BATCH-20241113-706
2024-12-17 21:48:13.394630,11.36,BATCH-20241217-116
2024-12-24 21:48:13.394630,13.74,BATCH-20241224-933
2025-01-02 21:48:13.394630,9.86,BATCH-20250102-086
2025-01-10 21:48:13.394630,10.69,BATCH-20250110-472
2025-01-28 21:48:13.394630,13.49,BATCH-20250128-637
2025-03-24 21:48:13.394630,12.11,BATCH-20250324-601
2025-04-10 21:48:13.394630,10.75,BATCH-20250410-322
2025-05-03 21:48:13.394630,12.35,BATCH-20250503-013
2025-05-22 21:48:13.394630,11.90,BATCH-20250522-824
2025-05-28 21:48:13.394630,10.29,BATCH-20250528-829
2025-06-26 21:48:13.394630,13.27,BATCH-20250626-444
2025-08-14 21:48:13.394630,13.47,BATCH-20250814-127
2025-08-16 21:48:13.394630,11.30,BATCH-20250816-576
2025-09-06 21:48:13.394630,11.97,BATCH-20250906-262
2025-09-17 21:48:13.394630,11.80,BATCH-20250917-238
2025-11-30 21:48:13.394630,8.76,BATCH-20251130-681
2025-12-12 21:48:13.394630,13.59,BATCH-20251212-101
