point_time,wrong_column
2024/01/01 08:00,95.59
2024/01/01 09:00,102.86
2024/01/01 10:00,102.64
2024/01/01 11:00,96.16
2024/01/01 12:00,96.14
2024/01/01 13:00,100.09
2024/01/01 14:00,97.16
2024/01/01 15:00,98.75
2024/01/01 16:00,104.02
2024/01/01 17:00,103.98
2024/01/01 18:00,104.54
2024/01/01 19:00,103.48
2024/01/01 20:00,96.59
2024/01/01 21:00,96.27
2024/01/01 22:00,101.83
2024/01/01 23:00,95.17
2024/01/02 00:00,97.07
2024/01/02 01:00,95.65
2024/01/02 02:00,95.83
2024/01/02 03:00,102.17
2024/01/02 04:00,98.75
2024/01/02 05:00,98.24
2024/01/02 06:00,103.49
2024/01/02 07:00,95.92
2024/01/02 08:00,104.31
2024/01/02 09:00,103.07
2024/01/02 10:00,95.16
2024/01/02 11:00,101.04
2024/01/02 12:00,104.73
2024/01/02 13:00,101.53
