point_time,point_val
InvalidTime_0,97.18
InvalidTime_1,97.67
InvalidTime_2,95.58
InvalidTime_3,102.92
InvalidTime_4,103.48
InvalidTime_5,95.62
InvalidTime_6,104.88
InvalidTime_7,100.52
InvalidTime_8,102.33
InvalidTime_9,99.5
InvalidTime_10,97.68
InvalidTime_11,102.23
InvalidTime_12,98.46
InvalidTime_13,101.4
InvalidTime_14,101.26
InvalidTime_15,104.63
InvalidTime_16,96.56
InvalidTime_17,100.31
InvalidTime_18,102.11
InvalidTime_19,102.34
InvalidTime_20,97.31
InvalidTime_21,98.21
InvalidTime_22,98.05
InvalidTime_23,103.15
InvalidTime_24,104.61
InvalidTime_25,103.38
InvalidTime_26,98.78
InvalidTime_27,95.74
InvalidTime_28,95.24
InvalidTime_29,103.71
