point_time,point_val,Batch_ID,ByTool
2025/5/9,11.7,BATCH-20240116-396,A
2025/5/12,11.7,BATCH-20240119-789,B
2025/5/15,11.7,BATCH-20240128-850,C
2025/5/18,11.7,BATCH-20240128-422,A
2025/5/21,11.7,BATCH-20240129-590,B
2025/5/24,11.7,BATCH-20240130-915,C
2025/5/27,11.7,BATCH-20240211-402,A
2025/5/30,11.7,BATCH-20240218-089,B
2025/6/2,11.7,BATCH-20240218-724,C
2025/6/5,11.7,BATCH-20240218-448,A
2025/6/8,11.7,BATCH-20240219-767,B
2025/6/11,11.7,BATCH-20240219-907,C
2025/6/14,11.8,BATCH-20240220-820,A
2025/6/17,11.7,BATCH-20240220-175,B
2025/6/20,11.7,BATCH-20240227-823,C
2025/6/23,11.7,BATCH-20240227-313,A
2025/6/26,11.7,BATCH-20240228-886,B
2025/6/29,11.7,BATCH-20240229-265,C
2025/7/2,11.7,BATCH-20240303-021,A
2025/7/5,11.7,BATCH-20240303-931,B
2025/7/8,11.7,BATCH-20240305-026,C
2025/7/11,11.7,BATCH-20240306-069,A
2025/7/14,11.7,BATCH-20240310-086,B
2025/7/17,11.7,BATCH-20240312-883,C
2025/7/20,11.7,BATCH-20240313-651,A
2025/7/23,11.7,BATCH-20240313-462,B
2025/7/26,11.7,BATCH-20240314-765,C
2025/7/29,11.7,BATCH-20240316-292,A
2025/8/1,11.7,BATCH-20240319-753,B
2025/8/4,11.7,BATCH-20240321-455,C
2025/8/7,11.7,BATCH-20240326-287,A
2025/8/10,11.7,BATCH-20240326-412,B
2025/8/13,11.7,BATCH-20240327-749,C
2025/8/16,11.7,BATCH-20240328-393,A
2025/8/19,11.7,BATCH-20240331-419,B
2025/8/22,11.7,BATCH-20240401-053,C
2025/8/25,11.7,BATCH-20240403-924,A
2025/8/28,11.7,BATCH-20240406-745,B
2025/8/31,11.7,BATCH-20240407-697,C
2025/9/3,11.7,BATCH-20240407-584,A
2025/9/6,11.7,BATCH-20240408-274,B
2025/9/9,11.7,BATCH-20240409-050,C
2025/9/12,11.7,BATCH-20240411-269,A
2025/9/15,11.7,BATCH-20240413-490,B
2025/9/18,11.7,BATCH-20240413-496,C
2025/9/21,11.7,BATCH-20240418-914,A
2025/9/24,11.7,BATCH-20240424-476,B
2025/9/27,11.7,BATCH-20240503-717,C
2025/9/30,11.7,BATCH-20240505-186,A
2025/10/3,11.7,BATCH-20240507-011,B
2025/10/6,11.7,BATCH-20240510-192,C
2025/10/9,11.8,BATCH-20240518-688,A
2025/10/12,11.7,BATCH-20240520-393,B
2025/10/15,11.7,BATCH-20240524-781,C
2025/10/18,11.7,BATCH-20240525-282,A
2025/10/21,11.7,BATCH-20240529-093,B
2025/10/24,11.7,BATCH-20240603-719,C
2025/10/27,11.7,BATCH-20240615-860,A
2025/10/30,11.7,BATCH-20240616-116,B
2025/11/2,11.7,BATCH-20240616-523,C
2025/11/5,11.7,BATCH-20240619-938,A
2025/11/8,11.7,BATCH-20240619-657,B
2025/11/11,11.7,BATCH-20240621-593,C
2025/11/14,11.7,BATCH-20240624-310,A
2025/11/17,11.7,BATCH-20240703-231,B
2025/11/20,11.7,BATCH-20240704-966,C
2025/11/23,11.7,BATCH-20240704-283,A
2025/11/26,11.7,BATCH-20240708-406,B
2025/11/29,11.7,BATCH-20240708-630,C
2025/12/2,11.7,BATCH-20240709-708,A
2025/12/5,11.7,BATCH-20240714-518,B
2025/12/8,11.7,BATCH-20240716-141,C
2025/12/11,11.7,BATCH-20240718-034,A
2025/12/14,11.8,BATCH-20240719-074,B
2025/12/17,11.7,BATCH-20240719-470,C
2025/12/20,11.7,BATCH-20240722-959,A
2025/12/23,11.7,BATCH-20240723-937,B
2025/12/26,11.7,BATCH-20240729-537,C
2025/12/29,11.7,BATCH-20240731-613,A
2026/1/1,11.7,BATCH-20240804-244,B
