point_time,point_val,Batch_ID
2024-01-17 21:48:13.094704,10.362,BATCH-20240117-113
2024-01-19 21:48:13.094704,14.164,BATCH-20240119-769
2024-01-19 21:48:13.094704,11.536,BATCH-20240119-641
2024-01-19 21:48:13.094704,13.801,BATCH-20240119-973
2024-01-21 21:48:13.094704,12.178,BATCH-20240121-367
2024-01-21 21:48:13.094704,10.782,BATCH-20240121-262
2024-01-21 21:48:13.094704,9.925,BATCH-20240121-574
2024-01-22 21:48:13.094704,13.626,BATCH-20240122-177
2024-01-22 21:48:13.094704,12.637,BATCH-20240122-516
2024-01-22 21:48:13.094704,9.663,BATCH-20240122-972
2024-01-23 21:48:13.094704,13.172,BATCH-20240123-706
2024-01-24 21:48:13.094704,9.865,BATCH-20240124-070
2024-01-24 21:48:13.094704,12.013,BATCH-20240124-364
2024-01-28 21:48:13.094704,9.539,BATCH-20240128-070
2024-01-30 21:48:13.094704,9.453,BATCH-20240130-678
2024-01-31 21:48:13.094704,9.530,BATCH-20240131-402
2024-02-01 21:48:13.094704,9.571,BATCH-20240201-241
2024-02-01 21:48:13.094704,9.627,BATCH-20240201-392
2024-02-03 21:48:13.094704,9.010,BATCH-20240203-561
2024-02-04 21:48:13.094704,11.321,BATCH-20240204-127
2024-02-05 21:48:13.094704,14.037,BATCH-20240205-274
2024-02-07 21:48:13.094704,11.815,BATCH-20240207-456
2024-02-08 21:48:13.094704,11.593,BATCH-20240208-265
2024-02-10 21:48:13.094704,11.541,BATCH-20240210-837
2024-02-10 21:48:13.094704,13.091,BATCH-20240210-095
2024-02-12 21:48:13.094704,11.607,BATCH-20240212-633
2024-02-13 21:48:13.094704,14.314,BATCH-20240213-790
2024-02-15 21:48:13.094704,8.543,BATCH-20240215-586
2024-02-16 21:48:13.094704,12.871,BATCH-20240216-844
2024-02-17 21:48:13.094704,10.887,BATCH-20240217-640
2024-02-17 21:48:13.094704,10.255,BATCH-20240217-277
2024-02-18 21:48:13.094704,14.395,BATCH-20240218-932
2024-02-19 21:48:13.094704,8.324,BATCH-20240219-351
2024-02-20 21:48:13.094704,8.623,BATCH-20240220-050
2024-02-24 21:48:13.094704,9.787,BATCH-20240224-829
2024-02-25 21:48:13.094704,9.343,BATCH-20240225-487
2024-02-28 21:48:13.094704,8.443,BATCH-20240228-760
2024-02-28 21:48:13.094704,12.066,BATCH-20240228-012
2024-02-29 21:48:13.094704,13.562,BATCH-20240229-989
