point_time,point_val,Batch_ID
2024-01-15 21:48:13.421253,7.345,BATCH-20240115-728
2024-01-15 21:48:13.421253,9.107,BATCH-20240115-966
2024-01-15 21:48:13.421253,8.990,BATCH-20240115-938
2024-01-15 21:48:13.421253,9.297,BATCH-20240115-225
2024-01-16 21:48:13.421253,9.430,BATCH-20240116-436
2024-01-17 21:48:13.421253,7.054,BATCH-20240117-798
2024-01-18 21:48:13.421253,7.276,BATCH-20240118-177
2024-01-18 21:48:13.421253,7.203,BATCH-20240118-713
2024-01-22 21:48:13.421253,9.629,BATCH-20240122-899
2024-01-23 21:48:13.421253,9.036,BATCH-20240123-172
2024-01-23 21:48:13.421253,7.525,BATCH-20240123-589
2024-01-24 21:48:13.421253,8.968,BATCH-20240124-281
2024-01-26 21:48:13.421253,6.862,BATCH-20240126-731
2024-01-26 21:48:13.421253,7.046,BATCH-20240126-213
2024-01-27 21:48:13.421253,7.157,BATCH-20240127-850
2024-01-27 21:48:13.421253,9.371,BATCH-20240127-787
2024-01-27 21:48:13.421253,7.161,BATCH-20240127-894
2024-01-27 21:48:13.421253,9.489,BATCH-20240127-321
2024-01-28 21:48:13.421253,7.067,BATCH-20240128-620
2024-01-28 21:48:13.421253,7.170,BATCH-20240128-927
2024-01-31 21:48:13.421253,7.228,BATCH-20240131-849
2024-02-02 21:48:13.421253,7.050,BATCH-20240202-746
2024-02-03 21:48:13.421253,7.184,BATCH-20240203-661
2024-02-03 21:48:13.421253,9.866,BATCH-20240203-841
2024-02-04 21:48:13.421253,7.007,BATCH-20240204-285
2024-02-04 21:48:13.421253,9.468,BATCH-20240204-086
2024-02-04 21:48:13.421253,7.048,BATCH-20240204-072
2024-02-06 21:48:13.421253,9.107,BATCH-20240206-991
2024-02-07 21:48:13.421253,9.414,BATCH-20240207-509
2024-02-08 21:48:13.421253,6.903,BATCH-20240208-101
2024-02-08 21:48:13.421253,9.575,BATCH-20240208-971
2024-02-08 21:48:13.421253,9.497,BATCH-20240208-210
2024-02-13 21:48:13.421253,6.712,BATCH-20240213-656
2024-02-13 21:48:13.421253,6.936,BATCH-20240213-515
2024-02-14 21:48:13.421253,7.541,BATCH-20240214-547
2024-02-15 21:48:13.421253,9.267,BATCH-20240215-740
2024-02-15 21:48:13.421253,9.523,BATCH-20240215-646
2024-02-16 21:48:13.421253,6.940,BATCH-20240216-993
2024-02-16 21:48:13.421253,6.623,BATCH-20240216-904
2024-02-17 21:48:13.421253,9.313,BATCH-20240217-309
2024-02-17 21:48:13.421253,8.970,BATCH-20240217-403
2024-02-17 21:48:13.421253,9.832,BATCH-20240217-209
2024-02-20 21:48:13.421253,7.298,BATCH-20240220-048
2024-02-21 21:48:13.421253,9.161,BATCH-20240221-938
2024-02-22 21:48:13.421253,7.010,BATCH-20240222-540
2024-02-22 21:48:13.421253,7.070,BATCH-20240222-858
2024-02-25 21:48:13.421253,7.229,BATCH-20240225-281
2024-02-26 21:48:13.421253,9.567,BATCH-20240226-753
2024-02-27 21:48:13.421253,7.162,BATCH-20240227-520
2024-02-27 21:48:13.421253,9.253,BATCH-20240227-745
2024-02-27 21:48:13.421253,9.449,BATCH-20240227-697
2024-02-27 21:48:13.421253,7.125,BATCH-20240227-385
2024-02-28 21:48:13.421253,9.603,BATCH-20240228-598
2024-03-01 21:48:13.421253,9.555,BATCH-20240301-332
2024-03-01 21:48:13.421253,9.148,BATCH-20240301-276
2024-03-01 21:48:13.421253,9.482,BATCH-20240301-298
2024-03-03 21:48:13.421253,7.462,BATCH-20240303-767
2024-03-04 21:48:13.421253,9.520,BATCH-20240304-636
2024-03-04 21:48:13.421253,9.338,BATCH-20240304-901
2024-03-06 21:48:13.421253,7.346,BATCH-20240306-425
2024-03-07 21:48:13.421253,7.182,BATCH-20240307-857
2024-03-08 21:48:13.421253,7.690,BATCH-20240308-025
