point_time,wrong_column
2024/01/01 08:00,100.58
2024/01/01 09:00,103.6
2024/01/01 10:00,100.19
2024/01/01 11:00,101.24
2024/01/01 12:00,103.83
2024/01/01 13:00,102.94
2024/01/01 14:00,95.38
2024/01/01 15:00,97.48
2024/01/01 16:00,96.67
2024/01/01 17:00,100.97
2024/01/01 18:00,102.99
2024/01/01 19:00,103.84
2024/01/01 20:00,96.48
2024/01/01 21:00,97.32
2024/01/01 22:00,97.21
2024/01/01 23:00,100.21
2024/01/02 00:00,100.28
2024/01/02 01:00,102.05
2024/01/02 02:00,100.76
2024/01/02 03:00,99.09
2024/01/02 04:00,96.02
2024/01/02 05:00,102.33
2024/01/02 06:00,103.44
2024/01/02 07:00,101.21
2024/01/02 08:00,99.65
2024/01/02 09:00,100.76
2024/01/02 10:00,102.1
2024/01/02 11:00,104.81
2024/01/02 12:00,103.93
2024/01/02 13:00,96.14
